Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
CRO landing Pages,cro-landing-pages,6948dc467df6e13b19c97d88,6936b27cc4d64679a58e166b,6948dc6a4a6fe6c34b3e6436,false,false,Mon Dec 22 2025 05:51:38 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 04:32:19 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 05:04:27 GMT+0000 (Coordinated Universal Time)
Frontend,frontend,6948dc467df6e13b19c97d88,6936b27cc4d64679a58e166b,69b272db9afa27d6d07bb3d8,false,false,Thu Mar 12 2026 08:01:31 GMT+0000 (Coordinated Universal Time),Thu Mar 12 2026 08:01:31 GMT+0000 (Coordinated Universal Time),Thu Mar 12 2026 08:01:31 GMT+0000 (Coordinated Universal Time)
Graphics Design,graphics-design,6948dc467df6e13b19c97d88,6936b27cc4d64679a58e166b,6948dc5dc2b44a8b69d5f718,false,false,Mon Dec 22 2025 05:51:25 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 04:32:05 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 05:04:27 GMT+0000 (Coordinated Universal Time)
Shopify,shopify,6948dc467df6e13b19c97d88,6936b27cc4d64679a58e166b,6948dc926a56535b3bccc6b6,false,false,Mon Dec 22 2025 05:52:18 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 04:33:01 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 05:04:27 GMT+0000 (Coordinated Universal Time)
Shopify Apps,shopify-apps,6948dc467df6e13b19c97d88,6936b27cc4d64679a58e166b,69b272cdc7fe0d9cbdb7719f,false,false,Thu Mar 12 2026 08:01:17 GMT+0000 (Coordinated Universal Time),Thu Mar 12 2026 08:01:17 GMT+0000 (Coordinated Universal Time),Thu Mar 12 2026 08:01:17 GMT+0000 (Coordinated Universal Time)
UI/UX design,ui-ux-design,6948dc467df6e13b19c97d88,6936b27cc4d64679a58e166b,6948dc788c5cf5826ca3808c,false,false,Mon Dec 22 2025 05:51:52 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 04:32:32 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 05:04:27 GMT+0000 (Coordinated Universal Time)
Webflow,webflow,6948dc467df6e13b19c97d88,6936b27cc4d64679a58e166b,69b272bffdbe7953d493a700,false,false,Thu Mar 12 2026 08:01:03 GMT+0000 (Coordinated Universal Time),Thu Mar 12 2026 08:01:03 GMT+0000 (Coordinated Universal Time),Thu Mar 12 2026 08:01:03 GMT+0000 (Coordinated Universal Time)
WordPress,wordpress,6948dc467df6e13b19c97d88,6936b27cc4d64679a58e166b,6948dc851f140e0669c07308,false,false,Mon Dec 22 2025 05:52:05 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 04:32:49 GMT+0000 (Coordinated Universal Time),Fri Dec 26 2025 05:04:27 GMT+0000 (Coordinated Universal Time)
