Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
CRO,cro,696b41e46555c3b7b4a07841,6936b27cc4d64679a58e166b,696b420f76d7f61b136b9b38,false,false,Sat Jan 17 2026 08:02:23 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:02:23 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:06:48 GMT+0000 (Coordinated Universal Time)
Shopify,shopify,696b41e46555c3b7b4a07841,6936b27cc4d64679a58e166b,696b42368a2e3f87c1c95a5f,false,false,Sat Jan 17 2026 08:03:02 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:04:11 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:06:48 GMT+0000 (Coordinated Universal Time)
UI/UX Design,ui-ux-design,696b41e46555c3b7b4a07841,6936b27cc4d64679a58e166b,696b421fe51cdabde6763360,false,false,Sat Jan 17 2026 08:02:39 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:02:39 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:06:48 GMT+0000 (Coordinated Universal Time)
Web Development,web-development,696b41e46555c3b7b4a07841,6936b27cc4d64679a58e166b,696b4240df79edaa0e6dc839,false,false,Sat Jan 17 2026 08:03:12 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:04:17 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:06:48 GMT+0000 (Coordinated Universal Time)
White-Label & Outsourcing,white-label-outsourcing,696b41e46555c3b7b4a07841,6936b27cc4d64679a58e166b,696b424cacb9668768ef10f1,false,false,Sat Jan 17 2026 08:03:24 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:04:22 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:06:48 GMT+0000 (Coordinated Universal Time)
Wordpress,wordpress,696b41e46555c3b7b4a07841,6936b27cc4d64679a58e166b,696b422bc514b687a3af236b,false,false,Sat Jan 17 2026 08:02:51 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:04:05 GMT+0000 (Coordinated Universal Time),Sat Jan 17 2026 08:06:48 GMT+0000 (Coordinated Universal Time)
